county	totalpop	pctwhite	pctblack	pctamind	pctasian	pctother	pcthispanic	year	fips
Sonoma	507250	0.627511613	0.019594992	0.007195164	0.038156636	0.033194754	0.274346842	2020	6097
Stanislaus	589156	0.440152653	0.02393372	0.005219399	0.050993851	0.033058832	0.446641545	2020	6099
Sutter	108939	0.481112332	0.017454646	0.009224614	0.141433017	0.034977657	0.315797733	2020	6101
Tehama	69340	0.6784368	0.005588329	0.01927106	0.012595772	0.028544957	0.255563083	2020	6103
Trinity	14352	0.788877333	0.002558218	0.039223291	0.020473278	0.043179911	0.105687969	2020	6105
Tulare	526718	0.306921499	0.010863916	0.007618504	0.03479484	0.014000874	0.625800367	2020	6107
Tuolumne	55938	0.785700059	0.019864436	0.015378678	0.014064913	0.027546652	0.137445261	2020	6109
Ventura	867535	0.446664628	0.01490386	0.002689225	0.063258933	0.027303667	0.445179687	2020	6111
Yolo	223657	0.470612958	0.031002893	0.005436427	0.129517936	0.04428338	0.319146405	2020	6113
Yuba	84520	0.572847227	0.026719574	0.01683791	0.057537955	0.051385398	0.274671936	2020	6115
